id,customer_id,timestamp,activity,revenue_impact,plan_type,activity_occurrence,activity_repeated_at
58,39,2022-05-13T22:19:11Z,expansion_contract_started,12.9,plan4,0,
59,111,2021-11-20T03:38:05Z,customer_churn_committed,13.4,plan4,0,
60,151,2022-05-22T05:07:44Z,contract_amended,22.9,plan3,0,
61,117,2021-10-10T09:48:02Z,contraction_contract_started,27.9,plan1,0,
62,226,2022-09-19T23:36:57Z,contract_amended,34.4,plan1,0,
63,131,2022-06-06T11:12:07Z,customer_churn_committed,26.1,plan3,0,
64,8,2022-05-17T14:46:39Z,customer_churn_committed,20.8,plan1,0,
65,129,2022-05-31T00:25:20Z,contract_retained,20.7,plan3,0,
66,220,2022-07-06T02:29:57Z,expansion_contract_started,13.3,plan3,0,
67,58,2022-08-28T02:41:49Z,contract_amended,29.8,plan2,0,
68,161,2021-10-30T04:11:21Z,resurrection_contract_started,17.1,plan1,0,
69,287,2022-06-16T22:47:27Z,expansion_contract_started,23.9,plan1,0,
70,13,2022-03-08T14:54:12Z,customer_churn_committed,23.4,plan2,0,
71,159,2022-02-01T07:02:56Z,new_contract_started,23.7,plan4,0,
72,295,2022-02-16T19:16:51Z,contract_retained,23.3,plan3,0,
73,285,2022-02-26T12:36:28Z,contract_amended,15.5,plan4,0,
74,10,2021-10-30T12:01:46Z,new_contract_started,26.0,plan2,0,
75,209,2022-04-07T17:19:42Z,contract_retained,27.6,plan3,0,
76,49,2022-07-08T00:36:22Z,new_contract_started,13.5,plan4,0,
77,169,2022-04-12T04:10:19Z,resurrection_contract_started,22.6,plan3,0,
78,282,2021-10-10T00:39:17Z,expansion_contract_started,28.2,plan4,0,
79,145,2022-09-24T03:43:50Z,resurrection_contract_started,17.4,plan2,0,
80,166,2021-12-07T09:08:15Z,contract_retained,25.1,plan4,0,
81,177,2022-09-23T04:51:32Z,expansion_contract_started,32.7,plan1,0,
82,163,2022-07-29T23:06:08Z,new_contract_started,16.0,plan2,0,
83,248,2021-10-17T22:59:06Z,contract_amended,15.0,plan3,0,
84,3,2022-05-29T01:34:12Z,contraction_contract_started,14.9,plan2,0,
85,222,2022-08-03T00:50:20Z,contract_retained,11.4,plan1,0,
86,104,2022-01-21T11:46:34Z,expansion_contract_started,12.5,plan2,0,
87,76,2022-03-31T04:22:24Z,customer_churn_committed,26.0,plan3,0,
88,44,2021-10-30T06:19:12Z,contraction_contract_started,17.2,plan3,0,
89,246,2022-04-29T12:30:08Z,customer_churn_committed,19.6,plan4,0,
90,29,2022-04-26T22:54:36Z,new_contract_started,26.0,plan4,0,
91,65,2022-07-27T02:39:07Z,expansion_contract_started,28.3,plan4,0,
92,275,2021-12-14T16:35:22Z,contract_amended,18.8,plan4,0,
93,133,2022-05-07T09:28:12Z,contract_retained,30.9,plan3,0,
94,299,2022-04-25T05:56:37Z,new_contract_started,25.5,plan3,0,
95,21,2022-05-20T17:47:15Z,new_contract_started,14.0,plan1,0,
96,223,2021-11-07T07:10:36Z,resurrection_contract_started,30.8,plan3,0,
97,170,2022-09-26T02:14:21Z,resurrection_contract_started,28.1,plan1,0,
98,32,2021-12-26T06:43:06Z,resurrection_contract_started,26.2,plan1,0,
99,189,2022-09-28T19:32:38Z,contract_amended,29.4,plan3,0,
100,142,2022-08-08T06:34:25Z,resurrection_contract_started,16.6,plan3,0,
101,158,2022-06-23T15:38:14Z,contract_amended,19.0,plan4,0,
102,11,2022-02-26T05:33:36Z,resurrection_contract_started,29.8,plan2,0,
103,47,2022-08-06T18:40:08Z,contract_retained,21.7,plan1,0,
104,42,2021-11-22T21:36:28Z,contraction_contract_started,14.8,plan4,0,
105,272,2022-05-21T23:59:36Z,contraction_contract_started,16.4,plan3,0,
106,120,2022-06-24T12:32:50Z,contract_retained,20.9,plan3,0,
107,62,2022-07-07T18:36:08Z,expansion_contract_started,28.2,plan3,0,
108,173,2022-03-14T03:04:41Z,customer_churn_committed,25.3,plan1,0,
109,34,2022-01-03T06:40:09Z,contract_amended,29.7,plan1,0,
110,14,2022-02-09T09:34:11Z,expansion_contract_started,29.2,plan1,0,
111,122,2022-05-08T18:30:32Z,contract_amended,12.0,plan2,0,
112,144,2022-07-26T09:52:27Z,customer_churn_committed,33.7,plan4,0,
113,155,2021-11-28T09:30:25Z,customer_churn_committed,17.1,plan1,0,
114,296,2021-12-31T14:00:28Z,customer_churn_committed,24.1,plan1,0,
115,18,2021-11-26T15:10:31Z,contract_retained,31.1,plan2,0,
116,281,2021-11-28T04:26:54Z,contract_retained,11.4,plan4,0,
117,73,2022-09-30T06:26:26Z,contract_retained,34.0,plan2,0,
118,37,2021-12-14T09:12:43Z,contraction_contract_started,21.6,plan1,0,
119,16,2021-11-04T13:14:42Z,contraction_contract_started,21.5,plan1,0,
120,286,2021-12-30T19:13:16Z,new_contract_started,34.8,plan2,0,
121,275,2022-05-22T14:24:10Z,expansion_contract_started,18.6,plan2,0,
122,175,2022-09-10T05:26:22Z,resurrection_contract_started,31.0,plan4,0,
123,178,2022-09-09T01:14:29Z,customer_churn_committed,18.5,plan4,0,
124,227,2022-07-14T19:46:32Z,resurrection_contract_started,15.0,plan2,0,
125,56,2022-10-03T09:25:27Z,contract_amended,34.5,plan2,0,
126,124,2022-01-20T21:10:49Z,contract_amended,23.1,plan4,0,
127,52,2021-12-20T16:09:14Z,contract_amended,13.3,plan3,0,
128,89,2022-02-22T04:56:43Z,contract_retained,25.0,plan3,0,
129,231,2021-10-12T12:58:48Z,new_contract_started,12.5,plan3,0,
130,59,2022-03-29T21:15:37Z,customer_churn_committed,11.0,plan3,0,
131,266,2022-03-15T16:12:05Z,contract_retained,28.9,plan4,0,
132,30,2022-06-12T21:01:24Z,new_contract_started,22.3,plan2,0,
133,24,2022-09-19T18:10:04Z,customer_churn_committed,24.9,plan1,0,
134,225,2022-04-14T23:34:46Z,resurrection_contract_started,15.9,plan2,0,
135,43,2021-12-01T20:01:43Z,new_contract_started,15.0,plan2,0,2022-05-04T16:00:19Z
136,194,2022-04-26T19:49:23Z,expansion_contract_started,25.7,plan3,0,
137,55,2022-06-02T04:51:09Z,contract_amended,13.1,plan3,0,
138,208,2021-11-28T21:42:08Z,resurrection_contract_started,26.8,plan2,0,
139,171,2022-08-20T03:33:37Z,contract_amended,33.6,plan2,0,
140,177,2022-07-24T18:18:17Z,resurrection_contract_started,27.9,plan2,0,
141,253,2021-11-26T03:50:01Z,new_contract_started,28.3,plan2,0,
142,79,2022-07-13T11:43:24Z,contract_retained,17.6,plan1,0,
143,243,2022-05-24T13:55:05Z,contract_amended,27.8,plan1,0,
144,238,2022-03-01T23:14:09Z,expansion_contract_started,13.8,plan3,0,
145,298,2022-08-30T12:20:26Z,customer_churn_committed,24.5,plan1,0,
146,300,2022-04-20T10:28:24Z,resurrection_contract_started,14.0,plan4,0,
147,188,2022-01-06T16:38:03Z,resurrection_contract_started,22.8,plan4,0,
148,85,2022-07-29T15:26:30Z,customer_churn_committed,24.1,plan2,0,
149,211,2021-10-09T14:23:31Z,contraction_contract_started,32.4,plan2,0,2022-07-31T06:26:11Z
150,19,2021-12-30T21:44:54Z,contract_amended,27.1,plan1,0,
151,218,2022-02-22T07:25:08Z,new_contract_started,28.1,plan2,0,
152,148,2022-04-16T05:13:09Z,customer_churn_committed,10.6,plan4,0,
153,102,2022-06-17T16:27:36Z,resurrection_contract_started,22.5,plan1,0,
154,294,2022-08-20T02:07:09Z,customer_churn_committed,16.5,plan1,0,
155,138,2022-02-01T05:27:47Z,contraction_contract_started,24.2,plan2,0,
156,250,2021-10-28T00:49:01Z,contract_retained,18.8,plan4,0,
157,38,2022-06-29T16:52:57Z,contract_amended,11.2,plan1,0,
158,55,2021-10-08T08:49:50Z,resurrection_contract_started,29.9,plan1,0,
159,173,2022-04-24T04:32:05Z,new_contract_started,14.8,plan3,0,
160,191,2022-07-16T20:08:03Z,customer_churn_committed,22.8,plan2,0,
161,217,2021-10-28T11:20:53Z,contract_retained,26.4,plan1,0,
162,280,2021-11-18T22:13:52Z,contract_retained,20.8,plan4,0,
163,298,2022-04-03T21:15:33Z,expansion_contract_started,25.8,plan1,0,
164,11,2022-06-25T15:21:56Z,contraction_contract_started,30.1,plan3,0,
165,131,2022-06-15T05:38:37Z,new_contract_started,30.3,plan4,0,
166,195,2022-05-09T14:02:42Z,contraction_contract_started,14.6,plan2,0,
167,295,2022-06-07T16:58:21Z,resurrection_contract_started,32.6,plan4,0,
168,84,2022-01-29T23:29:05Z,contraction_contract_started,28.4,plan2,0,
169,198,2022-03-21T16:15:52Z,contract_retained,20.1,plan1,0,
170,168,2022-05-02T11:42:30Z,new_contract_started,16.6,plan1,0,
171,122,2022-05-07T12:08:50Z,expansion_contract_started,26.8,plan1,0,
172,142,2022-02-25T11:53:27Z,expansion_contract_started,31.1,plan4,0,
173,265,2022-07-03T02:21:07Z,expansion_contract_started,23.9,plan1,0,
174,103,2022-07-14T15:03:35Z,resurrection_contract_started,18.9,plan4,0,
175,31,2022-02-05T09:59:20Z,contract_retained,22.9,plan4,0,
176,159,2022-02-21T19:09:31Z,new_contract_started,26.7,plan2,0,
177,128,2022-09-14T10:30:37Z,new_contract_started,23.7,plan4,0,
178,45,2022-09-05T09:58:42Z,customer_churn_committed,12.5,plan2,0,
179,182,2022-04-28T22:03:01Z,contraction_contract_started,31.5,plan2,0,
180,202,2022-03-14T16:06:53Z,new_contract_started,10.8,plan2,0,
181,119,2022-08-27T02:23:19Z,resurrection_contract_started,26.1,plan3,0,
182,229,2022-02-06T14:41:09Z,contract_retained,22.6,plan2,0,
183,90,2022-01-31T08:35:01Z,contract_retained,21.4,plan3,0,
184,72,2022-07-24T21:15:29Z,contract_retained,21.6,plan2,0,
185,262,2022-03-24T21:07:10Z,contract_amended,12.0,plan4,0,
186,256,2022-04-23T14:10:59Z,new_contract_started,11.1,plan2,0,
187,268,2022-02-03T07:23:20Z,expansion_contract_started,22.2,plan3,0,
188,178,2022-04-02T11:56:14Z,expansion_contract_started,12.9,plan2,0,
189,154,2022-03-04T01:19:53Z,customer_churn_committed,12.0,plan3,0,
190,88,2022-06-21T10:04:39Z,contract_retained,20.4,plan2,0,
191,116,2022-08-04T02:05:08Z,expansion_contract_started,34.3,plan3,0,
192,293,2022-07-07T15:46:22Z,contract_retained,30.6,plan1,0,
193,82,2022-05-27T19:28:21Z,customer_churn_committed,18.8,plan4,0,
194,118,2022-08-11T15:27:32Z,expansion_contract_started,33.1,plan2,0,
195,35,2022-01-05T14:21:03Z,contract_amended,22.2,plan1,0,
196,78,2022-09-25T18:34:17Z,expansion_contract_started,25.2,plan4,0,
197,86,2022-02-11T15:08:55Z,contract_retained,33.8,plan2,0,
198,23,2022-03-20T17:24:24Z,contraction_contract_started,11.8,plan4,0,
199,50,2022-08-05T10:54:56Z,customer_churn_committed,16.1,plan4,0,
200,248,2022-02-23T17:49:53Z,resurrection_contract_started,22.8,plan3,0,
201,168,2022-09-18T10:36:05Z,contraction_contract_started,21.0,plan4,0,
202,77,2022-04-02T02:23:51Z,new_contract_started,27.5,plan1,0,
203,258,2022-09-06T03:15:46Z,resurrection_contract_started,18.3,plan1,0,
204,219,2022-01-25T12:22:03Z,expansion_contract_started,17.2,plan1,0,
205,142,2022-02-11T19:18:17Z,customer_churn_committed,19.0,plan2,0,
206,40,2022-02-02T09:39:41Z,resurrection_contract_started,22.4,plan4,0,
207,24,2022-06-09T16:31:02Z,new_contract_started,13.0,plan3,0,
208,157,2022-09-13T21:49:01Z,contract_retained,31.3,plan4,0,
209,174,2022-06-12T17:28:25Z,contraction_contract_started,30.5,plan4,0,
210,158,2022-03-19T06:13:07Z,new_contract_started,17.5,plan1,0,
211,261,2022-04-01T15:00:06Z,customer_churn_committed,13.8,plan2,0,
212,132,2021-10-31T09:03:27Z,contract_retained,28.7,plan1,0,
213,253,2022-09-25T06:53:13Z,expansion_contract_started,28.4,plan4,0,
214,13,2022-04-30T08:07:14Z,customer_churn_committed,20.2,plan1,0,
215,29,2022-06-04T12:05:51Z,expansion_contract_started,12.6,plan1,0,
216,147,2021-12-23T02:17:46Z,new_contract_started,11.2,plan1,0,
217,65,2022-03-10T13:59:12Z,expansion_contract_started,27.1,plan4,0,
218,243,2022-08-03T16:38:11Z,new_contract_started,24.8,plan4,0,
219,141,2022-06-10T18:32:32Z,resurrection_contract_started,33.8,plan3,0,
220,130,2022-04-30T17:17:52Z,contract_amended,12.4,plan1,0,
221,218,2022-02-15T02:52:45Z,customer_churn_committed,32.8,plan1,0,
222,79,2022-02-12T19:43:17Z,resurrection_contract_started,14.6,plan4,0,
223,209,2022-03-10T08:40:01Z,contract_retained,31.7,plan4,0,
224,237,2022-06-28T22:13:09Z,contract_amended,27.4,plan3,0,
225,200,2022-09-03T05:45:10Z,resurrection_contract_started,32.2,plan1,0,
226,268,2022-06-20T14:50:42Z,new_contract_started,15.1,plan1,0,
227,183,2022-04-24T19:41:34Z,contraction_contract_started,29.3,plan4,0,
228,103,2022-08-22T22:03:48Z,new_contract_started,11.0,plan4,0,
229,56,2022-05-03T00:39:02Z,expansion_contract_started,11.2,plan4,0,
230,160,2021-10-19T03:43:58Z,resurrection_contract_started,17.4,plan2,0,
231,90,2022-06-02T04:26:58Z,new_contract_started,30.7,plan1,0,
232,191,2021-12-01T17:38:37Z,contract_retained,16.6,plan1,0,
233,153,2022-01-19T13:34:30Z,customer_churn_committed,21.8,plan2,0,
234,254,2022-07-20T22:35:09Z,contract_retained,22.8,plan3,0,
235,247,2021-11-15T21:18:43Z,contract_amended,26.4,plan3,0,
236,134,2022-09-13T04:29:49Z,new_contract_started,32.3,plan1,0,
237,156,2022-07-18T09:08:23Z,customer_churn_committed,32.1,plan2,0,
238,203,2021-12-29T15:19:58Z,contraction_contract_started,27.3,plan2,0,
239,140,2022-08-20T08:43:15Z,customer_churn_committed,12.1,plan2,0,
240,220,2022-01-29T23:18:35Z,customer_churn_committed,20.5,plan2,0,
241,39,2022-07-08T15:53:29Z,contraction_contract_started,30.6,plan3,0,
242,82,2021-11-26T17:04:25Z,customer_churn_committed,34.9,plan2,0,
243,264,2022-06-20T21:07:52Z,contraction_contract_started,11.2,plan1,0,
244,233,2022-05-27T00:03:50Z,contract_retained,15.6,plan4,0,
245,69,2022-03-29T06:11:55Z,resurrection_contract_started,26.1,plan3,0,
246,210,2022-06-01T15:20:25Z,contract_retained,15.7,plan4,0,
247,120,2022-05-20T07:36:33Z,expansion_contract_started,29.2,plan2,0,
248,53,2022-03-05T03:29:24Z,contract_amended,24.8,plan1,0,
249,192,2022-03-04T19:12:20Z,contract_amended,32.8,plan1,0,
250,241,2022-04-05T13:53:02Z,customer_churn_committed,28.0,plan4,0,
251,35,2022-08-01T21:02:57Z,new_contract_started,19.3,plan1,0,
252,72,2022-09-19T03:22:36Z,new_contract_started,34.2,plan3,0,
253,60,2021-11-15T21:16:17Z,resurrection_contract_started,19.6,plan1,0,
254,248,2022-02-24T02:32:57Z,customer_churn_committed,16.7,plan4,0,
255,277,2022-05-28T15:10:37Z,customer_churn_committed,19.4,plan2,0,
256,276,2022-03-30T13:05:24Z,customer_churn_committed,16.3,plan1,0,
257,128,2021-11-30T14:27:16Z,contract_amended,11.5,plan4,0,
258,140,2022-04-23T07:10:52Z,customer_churn_committed,16.0,plan4,0,
259,5,2022-07-06T11:44:13Z,new_contract_started,15.4,plan1,0,2022-07-28T15:23:26Z
260,161,2022-05-22T22:49:44Z,contract_retained,24.7,plan2,0,
261,66,2022-01-23T12:17:58Z,new_contract_started,20.3,plan1,0,
262,162,2022-01-16T19:15:31Z,contract_retained,27.3,plan2,0,
263,160,2022-09-27T22:35:38Z,contract_amended,34.1,plan4,0,
264,294,2022-03-21T21:37:14Z,customer_churn_committed,17.0,plan4,0,
265,229,2022-09-30T20:57:39Z,new_contract_started,30.9,plan3,0,
266,296,2021-10-27T08:28:50Z,contract_amended,23.9,plan1,0,
267,86,2022-05-31T04:14:32Z,resurrection_contract_started,13.7,plan4,0,
268,93,2022-05-08T17:06:35Z,contract_retained,19.0,plan1,0,
269,141,2022-04-30T12:42:05Z,contraction_contract_started,13.9,plan1,0,
270,61,2022-09-18T10:18:15Z,customer_churn_committed,10.2,plan1,0,
271,279,2021-11-09T10:56:05Z,resurrection_contract_started,27.4,plan4,0,
272,68,2022-05-01T23:46:34Z,expansion_contract_started,32.5,plan2,0,
273,76,2022-09-12T21:54:46Z,expansion_contract_started,21.0,plan3,0,
274,90,2021-11-08T17:23:15Z,customer_churn_committed,22.2,plan4,0,
275,104,2021-12-28T04:57:04Z,contract_amended,21.6,plan1,0,
276,243,2022-02-18T03:28:58Z,expansion_contract_started,31.7,plan4,0,
277,221,2021-12-09T09:26:26Z,contract_amended,17.0,plan4,0,
278,26,2022-02-12T18:10:07Z,contraction_contract_started,25.3,plan4,0,
279,10,2022-04-24T07:53:32Z,customer_churn_committed,28.8,plan4,0,
280,46,2022-05-01T08:52:01Z,contraction_contract_started,13.7,plan4,0,
281,214,2021-10-19T21:16:59Z,contract_retained,12.0,plan2,0,
282,261,2022-09-29T03:07:34Z,resurrection_contract_started,16.2,plan3,0,
283,73,2022-01-17T11:04:55Z,resurrection_contract_started,21.9,plan3,0,
284,137,2022-06-19T00:13:59Z,customer_churn_committed,14.3,plan4,0,
285,98,2022-10-04T21:23:53Z,contraction_contract_started,30.9,plan2,0,
286,12,2022-10-05T05:53:04Z,contract_retained,29.0,plan2,0,
287,268,2022-01-28T01:46:14Z,customer_churn_committed,16.8,plan2,0,
288,174,2022-03-04T10:00:45Z,customer_churn_committed,17.9,plan4,0,
289,183,2021-12-16T10:09:50Z,contract_amended,33.3,plan3,0,
290,199,2021-11-02T13:02:00Z,customer_churn_committed,10.4,plan3,0,
291,20,2022-03-31T21:50:34Z,resurrection_contract_started,30.0,plan2,0,
292,227,2022-07-19T09:17:45Z,contraction_contract_started,25.3,plan1,0,
293,213,2022-09-13T07:45:49Z,customer_churn_committed,14.7,plan3,0,
294,163,2022-08-01T11:53:06Z,contraction_contract_started,31.4,plan3,0,
295,210,2021-12-10T18:29:30Z,new_contract_started,25.3,plan3,0,
296,180,2021-12-07T13:33:32Z,new_contract_started,12.2,plan3,0,
297,245,2021-10-24T10:38:45Z,contract_amended,16.9,plan1,0,
298,109,2022-02-18T21:03:11Z,contract_retained,18.8,plan4,0,
299,259,2022-08-17T06:43:18Z,contraction_contract_started,27.9,plan1,0,
300,235,2021-10-27T21:06:30Z,new_contract_started,25.0,plan4,0,
301,180,2022-03-06T22:45:54Z,contract_amended,33.0,plan4,0,
302,282,2021-12-23T18:37:23Z,contract_retained,10.1,plan3,0,
303,220,2022-08-30T00:53:19Z,customer_churn_committed,11.1,plan1,0,
304,285,2021-12-03T11:51:26Z,resurrection_contract_started,21.8,plan4,0,
305,93,2022-02-28T16:27:27Z,customer_churn_committed,32.6,plan4,0,
306,52,2022-03-24T01:35:13Z,new_contract_started,33.6,plan2,0,
307,295,2022-10-01T10:52:51Z,contraction_contract_started,11.1,plan4,0,
308,277,2022-01-31T23:08:51Z,contract_amended,26.7,plan1,0,
309,145,2022-08-28T19:51:26Z,resurrection_contract_started,25.7,plan1,0,
310,204,2022-10-05T13:41:44Z,contract_retained,26.2,plan1,0,
311,158,2022-08-20T11:19:26Z,customer_churn_committed,14.2,plan3,0,
312,296,2022-03-23T14:29:44Z,contract_amended,34.9,plan1,0,
313,115,2022-08-24T23:48:06Z,new_contract_started,27.5,plan4,0,
314,256,2022-04-07T11:41:59Z,resurrection_contract_started,24.0,plan1,0,
315,59,2022-08-11T22:06:37Z,contract_amended,32.0,plan3,0,
316,173,2021-10-09T20:31:34Z,contract_amended,26.9,plan1,0,
317,116,2021-12-16T04:46:29Z,new_contract_started,20.3,plan2,0,
318,274,2022-06-29T19:34:50Z,resurrection_contract_started,15.8,plan1,0,
319,299,2022-06-13T20:31:46Z,expansion_contract_started,16.2,plan1,0,
320,165,2021-11-22T22:03:53Z,customer_churn_committed,28.0,plan1,0,
321,91,2022-07-25T13:29:49Z,contraction_contract_started,19.1,plan2,0,
322,135,2022-09-29T05:44:10Z,contract_amended,15.7,plan2,0,
323,283,2022-08-30T21:07:00Z,contraction_contract_started,11.6,plan4,0,
324,250,2022-06-14T01:49:17Z,contract_amended,27.9,plan1,0,
325,113,2022-07-16T02:25:16Z,contract_retained,25.2,plan2,0,
326,214,2021-10-21T04:37:18Z,customer_churn_committed,17.8,plan3,0,
327,73,2022-04-18T01:10:31Z,new_contract_started,18.0,plan1,0,
328,121,2022-04-15T17:24:16Z,contraction_contract_started,14.0,plan4,0,
329,287,2022-06-30T03:46:42Z,contract_amended,23.2,plan4,0,
330,129,2022-07-05T00:12:52Z,customer_churn_committed,15.5,plan4,0,
331,238,2022-06-25T10:04:54Z,expansion_contract_started,27.5,plan2,0,
332,271,2022-03-07T14:53:40Z,contract_amended,17.9,plan2,0,
333,2,2022-03-26T11:07:30Z,contract_amended,29.0,plan1,0,
334,3,2022-05-27T02:28:06Z,contract_retained,22.5,plan3,0,
335,35,2022-03-03T19:51:05Z,resurrection_contract_started,10.5,plan4,0,
336,53,2022-04-17T02:47:47Z,contract_amended,12.3,plan4,0,
337,12,2022-07-16T07:53:43Z,contraction_contract_started,25.8,plan3,0,
338,87,2022-03-09T22:24:54Z,contract_retained,31.4,plan4,0,
339,254,2022-01-26T04:59:59Z,expansion_contract_started,30.1,plan2,0,
340,85,2022-08-29T01:26:31Z,contraction_contract_started,14.6,plan4,0,
341,77,2022-07-09T08:45:12Z,new_contract_started,13.0,plan4,0,
342,255,2022-01-13T23:28:46Z,resurrection_contract_started,16.4,plan3,0,
343,258,2022-03-16T06:42:51Z,expansion_contract_started,18.0,plan3,0,
344,149,2022-05-13T20:55:35Z,resurrection_contract_started,29.8,plan2,0,
345,172,2022-08-01T12:07:04Z,contract_retained,26.6,plan2,0,
346,244,2022-05-16T23:53:46Z,contract_retained,18.2,plan4,0,
347,45,2022-07-23T01:26:38Z,customer_churn_committed,28.1,plan4,0,
348,251,2021-10-14T01:35:15Z,new_contract_started,24.6,plan4,0,
349,190,2022-08-19T00:18:11Z,contract_amended,20.9,plan3,0,
350,54,2022-01-05T05:34:59Z,contraction_contract_started,21.2,plan2,0,
351,64,2022-09-23T13:15:48Z,contraction_contract_started,25.4,plan4,0,
352,108,2022-09-08T09:47:25Z,contract_retained,28.7,plan3,0,
353,189,2022-09-12T09:02:49Z,contraction_contract_started,14.6,plan3,0,
354,255,2022-01-31T23:29:31Z,contract_retained,29.0,plan2,0,
355,144,2021-10-20T00:04:25Z,contraction_contract_started,19.1,plan2,0,
356,157,2022-05-27T15:45:26Z,new_contract_started,15.8,plan1,0,
357,78,2022-07-04T23:57:30Z,resurrection_contract_started,22.3,plan2,0,
358,159,2021-10-23T15:17:17Z,resurrection_contract_started,16.4,plan4,0,
359,88,2022-09-26T15:00:33Z,expansion_contract_started,30.1,plan1,0,
360,131,2021-10-09T00:49:39Z,new_contract_started,26.4,plan1,0,
361,139,2021-10-17T12:01:55Z,resurrection_contract_started,31.4,plan1,0,
362,102,2022-01-10T18:53:42Z,resurrection_contract_started,22.5,plan3,0,
363,83,2022-04-27T08:43:03Z,resurrection_contract_started,21.7,plan2,0,
364,285,2022-05-16T12:46:24Z,new_contract_started,30.4,plan4,0,
365,256,2021-12-06T15:53:50Z,expansion_contract_started,30.2,plan1,0,
